"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","questionNo","questionOrder","version","task","view_history","rt","responses","stimulus","key_press","testNo","testOrder","correct"
"true","fullscreen","0","4523","0.0-0.0","01234","shuffled","3","3","sameness","explain","","","","","","","",""
"","instructions","1","106340","0.0-1.0","01234","shuffled","3","3","sameness","explain","[{""page_index"":0,""viewing_time"":66812},{""page_index"":1,""viewing_time"":5446},{""page_index"":2,""viewing_time"":5244},{""page_index"":3,""viewing_time"":6521},{""page_index"":4,""viewing_time"":5769},{""page_index"":5,""viewing_time"":3122},{""page_index"":6,""viewing_time"":8901}]","101815","","","","","",""
"","survey-text","2","116329","0.0-2.0","01234","shuffled","3","3","sameness","explain","","9986","{""Q0"":""two shapes"",""Q1"":""one shape""}","","","","",""
"","instructions","3","121485","0.0-3.0","01234","shuffled","3","3","sameness","explain","[{""page_index"":0,""viewing_time"":1584},{""page_index"":1,""viewing_time"":3569}]","5154","","","","","",""
"","survey-text","4","138325","0.0-4.0","01234","shuffled","3","3","sameness","explain","","16838","{""Q0"":""lines cross"",""Q1"":""lines never cross""}","","","","",""
"","instructions","5","176893","0.0-5.0","01234","shuffled","3","3","sameness","explain","[{""page_index"":0,""viewing_time"":1341},{""page_index"":1,""viewing_time"":37226}]","38567","","","","","",""
"","html-keyboard-response","6","186580","0.0-6.0-0.0","01234","shuffled","3","3","sameness","explain","","9685","","<div class='bongard-image'><img src='img/4_concavity.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","7","213060","0.0-6.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","26474","{""Q0"":""arrow heads face each other"",""Q1"":""arrow heads face towards each other""}","","","","",""
"","html-keyboard-response","8","220956","0.0-6.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","7893","","4_concavity","70","5","0","0"
"","html-keyboard-response","9","222306","0.0-6.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","1348","","4_concavity","74","0","1","0"
"","html-keyboard-response","10","223419","0.0-6.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","1112","","4_concavity","74","4","2","1"
"","html-keyboard-response","11","224710","0.0-6.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","1290","","4_concavity","70","3","3","0"
"","html-keyboard-response","12","226122","0.0-6.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","1411","","4_concavity","70","1","4","1"
"","html-keyboard-response","13","227018","0.0-6.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","894","","4_concavity","74","2","5","1"
"","html-keyboard-response","14","230414","0.0-7.0-0.0","01234","shuffled","3","3","sameness","explain","","3396","","<div class='bongard-image'><img src='img/0_concavity.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","15","271145","0.0-7.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","40727","{""Q0"":""concave (shapes have bumps)"",""Q1"":""convex (shapes are \""bitten\"")""}","","","","",""
"","html-keyboard-response","16","275041","0.0-7.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","3895","","0_concavity","70","2","0","0"
"","html-keyboard-response","17","276252","0.0-7.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","1210","","0_concavity","74","3","1","1"
"","html-keyboard-response","18","280810","0.0-7.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","4555","","0_concavity","74","5","2","1"
"","html-keyboard-response","19","282534","0.0-7.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","1723","","0_concavity","70","0","3","1"
"","html-keyboard-response","20","283514","0.0-7.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","979","","0_concavity","70","4","4","0"
"","html-keyboard-response","21","284562","0.0-7.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","1047","","0_concavity","74","1","5","0"
