"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","group","workerId","assginementId","hitId","questionNo","questionOrder","version","task","responses","stimulus","key_press","testNo","testOrder","correct"
"[{""page_index"":0,""viewing_time"":1731}]","1732","instructions","0","1735","0.0-0.0-0.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","","","","","",""
"[{""page_index"":0,""viewing_time"":1312},{""page_index"":1,""viewing_time"":530},{""page_index"":2,""viewing_time"":450},{""page_index"":3,""viewing_time"":506}]","2798","instructions","1","4537","0.0-1.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","","","","","",""
"","17545","survey-text","2","22085","0.0-2.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","{""Q0"":"""",""Q1"":""""}","","","","",""
"[{""page_index"":0,""viewing_time"":2091},{""page_index"":1,""viewing_time"":3366}]","5458","instructions","3","27543","0.0-3.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","","","","","",""
"","2302","survey-text","4","29848","0.0-4.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","{""Q0"":"""",""Q1"":""""}","","","","",""
"[{""page_index"":0,""viewing_time"":2408},{""page_index"":1,""viewing_time"":48239}]","50647","instructions","5","80495","0.0-5.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","","","","","",""
"","1081","image-keyboard-response","6","81580","0.0-6.0-0.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","","img/3_collinearity.png","32","","",""
"","4465","survey-text","7","86065","0.0-6.0-1.0-0.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","{""Q0"":"""",""Q1"":""""}","","","","",""
"","11755","survey-text","8","97821","0.0-6.0-1.1-0.1","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","{""Q0"":""collinear"",""Q1"":""non collinear""}","","","","",""
"","2586","html-keyboard-response","9","100410","0.0-6.0-2.0-0.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","","3_collinearity","74","0","0","0"
"","844","html-keyboard-response","10","101258","0.0-6.0-2.0-1.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","","3_collinearity","70","2","1","0"
"","658","html-keyboard-response","11","101919","0.0-6.0-2.0-2.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","","3_collinearity","74","5","2","1"
"","326","html-keyboard-response","12","102247","0.0-6.0-2.0-3.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","","3_collinearity","70","4","3","0"
"","351","html-keyboard-response","13","102601","0.0-6.0-2.0-4.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","","3_collinearity","74","1","4","0"
"","400","html-keyboard-response","14","103002","0.0-6.0-2.0-5.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","","3_collinearity","70","3","5","0"
"","921","image-keyboard-response","15","103926","0.0-7.0-0.0","6zCJ0iTi5aWug","explicit","shuffled","","","","3","2","collinearity","explain","","img/2_collinearity.png","32","","",""
