"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","group","workerId","assginementId","hitId","questionNo","questionOrder","version","task","responses","stimulus","key_press","testNo","testOrder","correct"
"[{""page_index"":0,""viewing_time"":1025}]","1026","instructions","0","1030","0.0-0.0-0.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","","","","","",""
"[{""page_index"":0,""viewing_time"":261},{""page_index"":1,""viewing_time"":269},{""page_index"":2,""viewing_time"":273},{""page_index"":3,""viewing_time"":298}]","1101","instructions","1","2135","0.0-1.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","","","","","",""
"","1967","survey-text","2","4104","0.0-2.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","{""Q0"":"""",""Q1"":""""}","","","","",""
"[{""page_index"":0,""viewing_time"":357},{""page_index"":1,""viewing_time"":327}]","684","instructions","3","4788","0.0-3.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","","","","","",""
"","679","survey-text","4","5468","0.0-4.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","{""Q0"":"""",""Q1"":""""}","","","","",""
"[{""page_index"":0,""viewing_time"":333},{""page_index"":1,""viewing_time"":429}]","763","instructions","5","6231","0.0-5.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","","","","","",""
"","1007","image-keyboard-response","6","7244","0.0-6.0-0.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","","img/2_sameness.png","32","","",""
"","2168","survey-text","7","9426","0.0-6.0-1.0-0.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","{""Q0"":""gas"",""Q1"":""dag""}","","","","",""
"","402829","html-keyboard-response","8","412259","0.0-6.0-2.0-0.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","","2_sameness","74","1","0","0"
"","207","html-keyboard-response","9","412472","0.0-6.0-2.0-1.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","","2_sameness","74","5","1","1"
"","194","html-keyboard-response","10","412669","0.0-6.0-2.0-2.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","","2_sameness","74","4","2","1"
"","184","html-keyboard-response","11","412856","0.0-6.0-2.0-3.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","","2_sameness","74","3","3","1"
"","219","html-keyboard-response","12","413076","0.0-6.0-2.0-4.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","","2_sameness","74","0","4","0"
"","349","html-keyboard-response","13","413428","0.0-6.0-2.0-5.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","","2_sameness","74","2","5","1"
"","1776","image-keyboard-response","14","415205","0.0-7.0-0.0","AdIObiTi4oNcP","explicit","shuffled","","","","2","4","sameness","explain","","img/4_sameness.png","32","","",""
