"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","group","workerId","assginementId","hitId","questionNo","questionOrder","version","task","responses","stimulus","key_press","testNo","testOrder","correct"
"[{""page_index"":0,""viewing_time"":2826}]","2827","instructions","0","2828","0.0-0.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","","","","",""
"[{""page_index"":0,""viewing_time"":5774}]","5774","instructions","1","8604","0.0-0.1-0.1","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","","","","",""
"[{""page_index"":0,""viewing_time"":39861},{""page_index"":1,""viewing_time"":14055},{""page_index"":2,""viewing_time"":4649},{""page_index"":3,""viewing_time"":2261},{""page_index"":4,""viewing_time"":2759},{""page_index"":5,""viewing_time"":18781}]","82366","instructions","2","90972","0.0-1.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","","","","",""
"","4969","survey-text","3","95944","0.0-2.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","{""Q0"":"" "",""Q1"":""""}","","","","",""
"[{""page_index"":0,""viewing_time"":7619},{""page_index"":1,""viewing_time"":6928}]","14548","instructions","4","110492","0.0-3.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","","","","",""
"","8216","survey-text","5","118710","0.0-4.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","{""Q0"":"""",""Q1"":""""}","","","","",""
"[{""page_index"":0,""viewing_time"":4818},{""page_index"":1,""viewing_time"":24841}]","29659","instructions","6","148369","0.0-5.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","","","","",""
"","null","image-keyboard-response","7","268373","0.0-6.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","img/2_sameness.png","null","","",""
"","105925","survey-text","8","374308","0.0-6.0-1.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","{""Q0"":"""",""Q1"":""""}","","","","",""
"","7264","survey-text","9","381576","0.0-6.0-1.1-0.1","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","{""Q0"":"""",""Q1"":""""}","","","","",""
"","3089","survey-text","10","384667","0.0-6.0-1.2-0.2","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","{""Q0"":"""",""Q1"":""""}","","","","",""
"","8423","survey-text","11","393091","0.0-6.0-1.3-0.3","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","{""Q0"":"""",""Q1"":""""}","","","","",""
"","1341","survey-text","12","394433","0.0-6.0-1.4-0.4","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","{""Q0"":"""",""Q1"":""""}","","","","",""
"","3135","survey-text","13","397571","0.0-6.0-1.5-0.5","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","{""Q0"":""sdf"",""Q1"":""sdfsd""}","","","","",""
"","25628","html-keyboard-response","14","423203","0.0-6.0-2.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","2_sameness","70","1","0","1"
"","5191","html-keyboard-response","15","428395","0.0-6.0-2.0-1.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","2_sameness","74","2","1","1"
"","6129","html-keyboard-response","16","434525","0.0-6.0-2.0-2.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","2_sameness","70","4","2","0"
"","1814","html-keyboard-response","17","436341","0.0-6.0-2.0-3.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","2_sameness","70","3","3","0"
"","4911","html-keyboard-response","18","441254","0.0-6.0-2.0-4.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","2_sameness","74","0","4","0"
"","1662","html-keyboard-response","19","442918","0.0-6.0-2.0-5.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","2_sameness","70","5","5","0"
"","59613","image-keyboard-response","20","502533","0.0-7.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","img/3_sameness.png","32","","",""
"","16129","survey-text","21","518670","0.0-7.0-1.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","{""Q0"":""aligned in same direction"",""Q1"":""aligned in a different direction""}","","","","",""
"","4323","html-keyboard-response","22","522995","0.0-7.0-2.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","3_sameness","74","1","0","0"
"","1385","html-keyboard-response","23","524382","0.0-7.0-2.0-1.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","3_sameness","74","5","1","1"
"","1448","html-keyboard-response","24","525832","0.0-7.0-2.0-2.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","3_sameness","70","2","2","0"
"","751","html-keyboard-response","25","526584","0.0-7.0-2.0-3.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","3_sameness","70","4","3","0"
"","919","html-keyboard-response","26","527504","0.0-7.0-2.0-4.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","3_sameness","74","3","4","1"
"","2289","html-keyboard-response","27","529794","0.0-7.0-2.0-5.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","3_sameness","70","0","5","1"
"","21734","image-keyboard-response","28","551529","0.0-8.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","img/0_sameness.png","32","","",""
"","11680","survey-text","29","563213","0.0-8.0-1.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","{""Q0"":""same number of shapes"",""Q1"":""different number of shapes""}","","","","",""
"","3546","html-keyboard-response","30","566760","0.0-8.0-2.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","0_sameness","70","5","0","0"
"","1381","html-keyboard-response","31","568142","0.0-8.0-2.0-1.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","0_sameness","74","1","1","0"
"","5949","html-keyboard-response","32","574093","0.0-8.0-2.0-2.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","0_sameness","74","0","2","0"
"","1328","html-keyboard-response","33","575422","0.0-8.0-2.0-3.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","0_sameness","70","3","3","0"
"","1070","html-keyboard-response","34","576493","0.0-8.0-2.0-4.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","0_sameness","70","4","4","0"
"","1681","html-keyboard-response","35","578176","0.0-8.0-2.0-5.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","0_sameness","74","2","5","1"
"","7191","image-keyboard-response","36","585369","0.0-9.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","img/4_sameness.png","32","","",""
"","51998","survey-text","37","637371","0.0-9.0-1.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","{""Q0"":""same size"",""Q1"":""different size""}","","","","",""
"","15055","html-keyboard-response","38","652428","0.0-9.0-2.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","4_sameness","74","1","0","0"
"","907","html-keyboard-response","39","653336","0.0-9.0-2.0-1.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","4_sameness","70","4","1","0"
"","812","html-keyboard-response","40","654150","0.0-9.0-2.0-2.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","4_sameness","70","0","2","1"
"","907","html-keyboard-response","41","655058","0.0-9.0-2.0-3.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","4_sameness","70","2","3","0"
"","712","html-keyboard-response","42","655771","0.0-9.0-2.0-4.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","4_sameness","74","3","4","1"
"","775","html-keyboard-response","43","656549","0.0-9.0-2.0-5.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","4_sameness","74","5","5","1"
"","8964","image-keyboard-response","44","665514","0.0-10.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","img/1_sameness.png","32","","",""
"","11760","survey-text","45","677279","0.0-10.0-1.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","{""Q0"":""same number white and black dots"",""Q1"":""different number""}","","","","",""
"","3302","html-keyboard-response","46","680582","0.0-10.0-2.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","1_sameness","70","4","0","0"
"","1739","html-keyboard-response","47","682322","0.0-10.0-2.0-1.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","1_sameness","74","0","1","0"
"","1856","html-keyboard-response","48","684179","0.0-10.0-2.0-2.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","1_sameness","74","3","2","1"
"","1459","html-keyboard-response","49","685639","0.0-10.0-2.0-3.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","1_sameness","74","2","3","1"
"","1091","html-keyboard-response","50","686731","0.0-10.0-2.0-4.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","1_sameness","70","5","4","0"
"","3542","html-keyboard-response","51","690275","0.0-10.0-2.0-5.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","1_sameness","74","1","5","0"
"","7727","image-keyboard-response","52","698004","0.0-11.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","img/0_angularity.png","32","","",""
"","17658","survey-text","53","715668","0.0-11.0-1.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","{""Q0"":""one line wide angle"",""Q1"":""one line sharp angle""}","","","","",""
"","6442","html-keyboard-response","54","722111","0.0-11.0-2.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","0_angularity","70","1","0","1"
"","1024","html-keyboard-response","55","723137","0.0-11.0-2.0-1.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","0_angularity","70","5","1","0"
"","731","html-keyboard-response","56","723869","0.0-11.0-2.0-2.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","0_angularity","74","4","2","1"
"","619","html-keyboard-response","57","724491","0.0-11.0-2.0-3.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","0_angularity","74","2","3","1"
"","858","html-keyboard-response","58","725350","0.0-11.0-2.0-4.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","0_angularity","74","0","4","0"
"","739","html-keyboard-response","59","726090","0.0-11.0-2.0-5.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","0_angularity","70","3","5","0"
"","null","image-keyboard-response","60","847078","0.0-12.0-0.0","a8JEFiTiXnpUU","explicit","shuffled","","","","0","3","angularity","explain","","img/3_angularity.png","null","","",""
