"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","group","workerId","assginementId","hitId","questionNo","questionOrder","version","task","responses","stimulus","key_press","testNo","testOrder","correct"
"[{""page_index"":0,""viewing_time"":1420}]","1421","instructions","0","1424","0.0-0.0-0.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","","","","",""
"[{""page_index"":0,""viewing_time"":523},{""page_index"":1,""viewing_time"":368},{""page_index"":2,""viewing_time"":336},{""page_index"":3,""viewing_time"":380}]","1608","instructions","1","3035","0.0-1.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","","","","",""
"","2395","survey-text","2","5434","0.0-2.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","{""Q0"":"" "",""Q1"":""""}","","","","",""
"[{""page_index"":0,""viewing_time"":763},{""page_index"":1,""viewing_time"":229}]","992","instructions","3","6427","0.0-3.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","","","","",""
"","1840","survey-text","4","8268","0.0-4.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","{""Q0"":""gds"",""Q1"":""sdg""}","","","","",""
"[{""page_index"":0,""viewing_time"":1419},{""page_index"":1,""viewing_time"":511}]","1930","instructions","5","10200","0.0-5.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","","","","",""
"","1051","image-keyboard-response","6","11255","0.0-6.0-0.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","img/1_levels.png","32","","",""
"","4108","survey-text","7","15380","0.0-6.0-1.0-0.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","{""Q0"":""sdg"",""Q1"":""sdg""}","","","","",""
"","1536","html-keyboard-response","8","16918","0.0-6.0-2.0-0.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","1_levels","70","1","0","1"
"","200","html-keyboard-response","9","17124","0.0-6.0-2.0-1.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","1_levels","74","0","1","0"
"","188","html-keyboard-response","10","17315","0.0-6.0-2.0-2.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","1_levels","70","5","2","0"
"","190","html-keyboard-response","11","17507","0.0-6.0-2.0-3.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","1_levels","74","2","3","1"
"","182","html-keyboard-response","12","17691","0.0-6.0-2.0-4.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","1_levels","70","3","4","0"
"","183","html-keyboard-response","13","17876","0.0-6.0-2.0-5.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","1_levels","74","4","5","1"
"","530","image-keyboard-response","14","18408","0.0-7.0-0.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","img/2_levels.png","32","","",""
"","4130","survey-text","15","22545","0.0-7.0-1.0-0.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","{""Q0"":""l"",""Q1"":""r""}","","","","",""
"","331","html-keyboard-response","16","22878","0.0-7.0-2.0-0.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","2_levels","70","4","0","0"
"","1298","html-keyboard-response","17","24177","0.0-7.0-2.0-1.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","2_levels","70","5","1","0"
"","96","html-keyboard-response","18","24276","0.0-7.0-2.0-2.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","2_levels","74","2","2","1"
"","261","html-keyboard-response","19","24539","0.0-7.0-2.0-3.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","2_levels","74","0","3","0"
"","203","html-keyboard-response","20","24744","0.0-7.0-2.0-4.0","fGIPsiTijKyDO","explicit","shuffled","","","","0","4","levels","explain","","2_levels","70","3","4","0"
